LOCAL 2024-02-12 10:07:49 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:50 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::R3R9QKZ61DMKGF::This gift was liked by the child and parents.::sentimentAnalysis for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:50 INFO  Worker:72 - Sentiment analysis result: 3
LOCAL 2024-02-12 10:07:50 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:50 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:50 INFO  Worker:63 - Received task: a49e7617bdffb467::0::RGMH5ROASTBS8::Well-made children's book that an child will love.::sentimentAnalysis for localAppId a49e7617bdffb467 for inputIndex 0
LOCAL 2024-02-12 10:07:50 INFO  Worker:72 - Sentiment analysis result: 3
LOCAL 2024-02-12 10:07:50 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:50 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:50 INFO  Worker:63 - Received task: a49e7617bdffb467::0::R3V239ZPPF0XY3::Cutest book ever. All my kids love, love, love it!! I'd give this as a present to other people too.::entityRecognition for localAppId a49e7617bdffb467 for inputIndex 0
LOCAL 2024-02-12 10:07:51 INFO  Worker:79 - Named entity recognition result: 
LOCAL 2024-02-12 10:07:51 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:51 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:51 INFO  Worker:63 - Received task: a00c3aff1cb9f71e::0::R3V239ZPPF0XY3::Cutest book ever. All my kids love, love, love it!! I'd give this as a present to other people too.::sentimentAnalysis for localAppId a00c3aff1cb9f71e for inputIndex 0
LOCAL 2024-02-12 10:07:51 INFO  Worker:72 - Sentiment analysis result: 2
LOCAL 2024-02-12 10:07:51 INFO  SQSHandler:76 - Sent message to workerToManagerQueue
LOCAL 2024-02-12 10:07:51 INFO  SQSHandler:116 - Deleted message from https://sqs.us-east-1.amazonaws.com/767398090493/managerToWorkerQueue
LOCAL 2024-02-12 10:07:51 INFO  Worker:63 - Received task: a49e7617bdffb467::0::RB9QK3F6SUQPU::love::entityRecognition for localAppId a49e7617bdffb467 for inputIndex 0
LOCAL 2024-02-12 10:07:51 INFO  Worker:79 - Named entity recognition result: 
